TP9_Alpha,AF7_Alpha,AF8_Alpha,TP10_Alpha,TP9_Beta1,AF7_Beta1,AF8_Beta1,TP10_Beta1,TP9_Beta2,AF7_Beta2,AF8_Beta2,TP10_Beta2,TP9_Gamma1,AF7_Gamma1,AF8_Gamma1,TP10_Gamma1,TP9_Gamma2,AF7_Gamma2,AF8_Gamma2,TP10_Gamma2
5.657815510325819,2.562831473529643,3.241522196745426,1.596752697246372,2.420831073880374,2.585532518342537,3.3486723371022262,2.5172766639427695,2.7788183911164914,2.067722145041516,3.711057185196817,4.216567453548349,3.8867089912431254,2.550955084220092,2.1645520076039206,5.39074053588415,5.269609487710168,3.397869398554055,2.976986816947672,1.132267303813086
5.697277105337972,2.6401971927454486,3.2439719553668533,1.5244460417093273,2.5145319329901343,2.5816361314261345,3.5905031469323094,2.161217799637455,2.9939294220556887,1.644848391002897,3.594151117349827,3.9211370113510604,4.061455507318575,2.5243530503007903,2.1615477010843183,5.247617718096419,5.3326578597642795,3.543560143994842,3.091489530080873,1.0583833974805585
5.5793253845604065,3.005465514788604,3.1844489294523446,1.697560227385342,2.5522278796640774,2.7863687599018947,3.741367067390903,2.3565926486310342,2.793339482022487,1.9073344987912655,3.513482240396058,4.167983919795017,3.8615399920792446,2.4314154505331445,2.233709401282992,5.085138910500204,5.074933615298248,3.5244041188955677,2.6275950363135294,1.0765962281169936
5.270855741114217,3.118036744230625,3.4018259700077946,1.7990067661529023,2.4817434194892276,2.7711372249102895,3.7025565747650857,2.699864747780154,2.7561953403362662,2.5238085747436205,3.368400341544146,4.267574159100272,3.708460872942657,2.6752246929583943,1.8922547081136492,5.074407544373786,4.962718589890248,3.5298730517919807,2.541480648310514,1.3387175068567014
5.146947099330817,2.998600422234297,3.382243972946622,1.6418798333313342,2.476312978182646,2.7383946745258068,3.721974359876023,2.9750854369973605,2.7664111444262476,2.648974195309312,3.7704442247441543,4.379890627645502,3.508543065736339,2.5652388245368325,2.0083417706026583,5.143094228308435,4.912519945497673,3.2620840303634124,2.482045439079088,1.2847875823888575
5.319275207392637,2.929127363204291,3.131007958940614,1.626741530398181,2.408132082832441,2.5398159435381977,3.3544065695842358,2.98454605451707,2.6927934894540253,2.81059686908339,3.5731802499296292,4.365513222884962,3.4164289905483805,2.6064658690785594,1.8666720636886087,5.231544876547091,4.971845460037169,3.3101252919456403,2.3053764160977726,1.4616168353024597
5.567294411100583,2.821232683589954,3.0827096959949403,1.3550262503672044,2.356899357230684,2.511317060173311,3.131006525859907,2.7575275834308397,2.5543164753898204,2.715162331975151,3.572233628194345,4.292432637756933,3.436003427465385,2.6065445850403344,1.9083383928092708,5.260254942007675,4.972730051687405,3.241778086142504,2.3236939135042913,1.1756731059066732
5.685107742659955,2.9285280454042013,3.1439703636159324,1.881109623519742,2.2714349848164606,2.4633841110020076,2.7913807579117518,2.6939987332455475,2.5180746117563344,2.707562220905707,3.100846857815475,4.375919751910786,3.4733623821866133,2.472399411205394,1.759991725445466,5.427670599330716,5.1383996989132905,3.217346513377237,2.2063963701743536,1.3834956052543415
5.868884428071503,2.807419576770378,3.2625361730517417,1.5773338538326793,2.1441165827483126,2.524759279896877,2.686966466158702,2.5122174031950073,2.556942097973064,2.6617932419152526,3.3028020043656676,4.2086750792624485,3.4783286094559793,2.6904521226336597,1.5399414422503042,5.660670526179193,4.961117574360805,3.0721547367684146,2.098450725683983,1.0226044430363324
5.849863976585961,2.952246616721726,3.040890580166146,1.9845427962381958,2.029549744118602,2.3309580480744905,3.0627631582096635,3.003516251215655,2.757502388662343,2.583176621890313,3.453097926341144,4.525608439632635,3.5341306120910634,2.5102479466619156,1.2798793800256822,5.79501429273515,4.915934445011205,3.1426430938200034,1.8222576110235467,1.5118700607124476
5.8895854611473855,2.9233801252849623,3.0047355467720878,1.6193960109220977,1.9414103777416734,2.30382106074355,3.310023389622398,2.671597101249569,2.5519379614487305,2.6672944870078967,3.66907046156643,4.2641759098125585,3.436209950303522,2.4226583635682934,1.4771727461727133,5.75029962561898,4.667825679463171,3.35943787484579,1.621745680966,1.2632376829919723
5.7826968286068166,3.0563056603549965,3.062333509237517,1.6773425605021601,1.7351596359891153,2.3690022346766564,3.5178304461302368,2.7216233002949903,2.4172441228123063,2.56289110784779,3.970156831955578,4.2696487305579485,3.2745924421367776,2.189249391955406,1.668955572800723,5.7678918699285,4.742985952458993,3.3658428963831377,1.887842734770863,1.3375721977644266
5.720311763948062,3.4497464220485146,3.1941725929855087,1.383097064723494,2.2303126700120623,2.574606900805078,3.4280921169583882,2.2035346688768036,2.444252066930977,2.363048863348005,3.9276381199821992,3.7457918156329897,3.288687878215465,2.659381285189072,1.5532496630373134,5.761704044457871,4.865910731954751,3.3637047375714215,1.7354503742957952,0.5813703571103418
5.720270390014322,3.421466143582631,2.9853611441483903,1.2799636101122427,2.500676656132588,2.6209137584866253,3.201647831587356,2.1490543139785556,2.844099730413148,2.3126294007933317,3.7809632210455955,3.5931051550448934,3.523694457252989,2.6568995093119057,1.2993828056542451,5.855621830317545,5.34376939424536,3.3254558013114357,1.7808453380273177,0.9427304426359335
5.883994079109314,3.2943772579759694,2.7389532632800475,1.2030379995726856,2.7749033478453557,2.541656534204691,2.881731412967964,1.9916121403115317,3.1333837624136804,2.328085764722912,3.220478564934454,3.4416282416644584,3.865538462664012,2.6394461794142123,1.0721600870779289,5.717401186318019,5.434851883571902,3.3771052158422377,1.6938556422888398,0.83487096661756
6.00905269689911,2.747775813323315,2.4330819115662328,0.7065919798306525,2.5368335978103507,2.6428252460649206,2.602437776558623,1.8024013274816901,3.01927029579051,2.405659170504307,3.1510541671308916,3.446828333863223,3.828226820441821,2.143298899106171,1.3124782011753846,5.661724048134229,5.354939171497921,3.478000201683378,1.8405755062393958,0.7999830791603767
6.073742729071701,2.744239157357281,2.4185308682536646,0.37110076663082503,2.4086284124425306,2.62208949180891,2.5032173489303458,1.9197144341975028,2.7766515701846908,2.3146725789740836,3.235744334913826,3.562203264133234,3.781296999549954,2.0832877345496925,1.3979992310697882,5.728323463427745,4.716364941612404,3.275451868593253,1.8143435833616053,0.4905151659862162
5.936221804252306,2.886815279296442,2.5660420131198967,0.32856855796981443,1.7819831869957998,2.5043240569711016,2.9431284291395405,2.1623859868236237,2.024138778192525,2.2822030102602215,3.342232543060275,3.6968341353939107,3.286986164201971,1.9491517190762737,1.5951661766285319,5.775008191502937,4.218440498843503,3.195242768343309,1.7740081224980668,0.6902953689088719
6.117587072616213,2.9898694776948855,2.773868136498468,0.4670916653293963,1.803581435433828,2.7770096067316996,3.176584883998435,2.069308519696079,2.413562053482684,2.7827899172510917,3.832788522456033,3.7002290211850477,3.390682482325977,2.268891579681981,1.4421279432497318,5.801848455781442,4.400501064283546,3.2478944478163925,1.5518072987506093,0.7272650320996383
5.986764941181221,3.0607066057883565,2.7145854189069785,0.5763230867397128,1.768354169134392,2.797671889008517,3.202659127929503,2.2244742678061065,2.4873574617088843,2.7705632929278643,3.922105539344833,3.7323617123084856,3.319597072486587,2.396182248100616,1.4844538431456253,5.590406273834693,4.677026262695217,3.3281985718476648,1.5878675541043747,0.6762458124473355
6.182716774761262,2.9013057482652758,2.6222061212621712,0.9617772079819552,2.2082055445580164,2.843976717392291,3.2270909094096107,2.1420391265518908,2.689867184921869,2.882147343931705,4.109031104196702,3.755916480650716,3.468578049105344,2.5819400035663693,1.4690109284842416,5.769384181635242,4.916861790172,3.356851398409023,1.7887139666844616,0.9487581887194119
6.113544065220442,2.6685063281742307,2.2629633070214896,1.2421085509396956,1.9580304865784222,2.4868484749130513,2.9767939577333626,2.49642653648378,2.1675804310544042,2.283799931397326,4.061818815063495,4.10212039791642,3.2057825667038142,2.2721820861564503,1.333399369443792,5.911057407860872,4.850473823993525,3.020125714112707,1.7159298327608108,1.266976979946271
6.320477233479791,2.7089097115785075,2.642489750976502,2.443160399653663,2.349270734349817,2.390603739479868,3.1263152953522013,2.713972089162007,2.8296654831474006,2.4874585410355774,4.016115108206059,4.598824734775306,3.471472628827691,2.312812093850257,1.4893383283547141,6.146783471288457,5.144564696013969,3.188690678094221,1.8043011452303934,1.5638246861114697
6.29506575297134,2.8198275203834613,2.7100191629010824,2.6806842384738894,2.519467906020355,2.086460928283148,2.857039536198604,3.273736977607191,3.138058930721948,2.3913457665769915,3.8929117864365548,4.794591644502943,3.8595183205246757,2.0954549773047044,1.6401855753451293,6.0501869477076555,5.292883743529896,3.1783231179894202,1.4493797994701905,1.7458511441143536
6.2376676775168125,2.9119086362830218,2.7595270536375054,2.649210988014092,2.7403968069800224,1.8964513995745904,2.830591060493406,3.2228635266717762,3.255317460263899,2.501633659889053,3.573313338536886,4.61951802374502,4.020749532687139,2.2137411316751345,1.8108480141009715,5.946972073564421,5.217869418561957,3.5859375012264723,1.4884857474555604,1.619453034248998
6.032876749500414,2.9532829742003788,2.526866685404426,2.14848720770246,2.5531286005922644,2.1156771340320604,2.6945367643022373,3.205845907499242,2.830633623436861,2.4809230719529243,3.7064468088623532,4.459431942786937,3.8037769036129916,2.353005151741434,1.5511874885763015,5.7986688463588925,4.817054732159675,3.552708378338889,1.5135603179904284,1.6638082580914622
