TP9_Alpha,AF7_Alpha,AF8_Alpha,TP10_Alpha,TP9_Beta1,AF7_Beta1,AF8_Beta1,TP10_Beta1,TP9_Beta2,AF7_Beta2,AF8_Beta2,TP10_Beta2,TP9_Gamma1,AF7_Gamma1,AF8_Gamma1,TP10_Gamma1,TP9_Gamma2,AF7_Gamma2,AF8_Gamma2,TP10_Gamma2
5.77229609862636,2.8105259281553305,3.2205474152348335,1.4686369921828581,2.6592877930343177,2.45768599933037,3.636201085972064,2.7231852900298614,3.5898479526984177,1.5718526540946334,2.735349849914544,4.796758197673501,4.267337476181737,1.8458728074604385,2.081457780755777,5.162230607858654,5.6177071714179405,2.5600573167052945,2.4444883156274755,1.255169117107347
6.103706660883897,2.7493965913797287,3.3419502740497005,1.3318670481391728,2.845494424245015,2.36901214850221,3.6855046088830026,2.832355973572228,3.615633714601109,1.7592989030350146,3.2045934270679197,5.076383263847716,4.4640070607078455,1.844732426078169,2.1380180326495295,5.860949846247333,5.82076369068511,2.440221903335835,2.664279104651537,1.229013389121854
6.043627206586714,2.602045864849494,3.0134535504335482,1.714267259029567,2.793515724221966,2.217059512376547,3.2552120776788964,2.9524833051912607,3.254698936170994,1.837250051644775,3.573655493456369,5.302795465874567,4.591029171505884,2.0863476918726316,2.2284078710555284,6.081175613064101,5.941757431080641,2.4392342730357246,2.6480794477791854,1.4198078761145356
5.895285110658163,2.6851515335307163,3.0271569813029755,1.5741238233461712,2.728035570743344,1.7432586093499425,2.9381520343949656,2.818507914947033,2.7623871096073547,1.991333888957185,3.519944778109273,5.179210797862206,4.469515302322947,2.1922693383762373,2.083619494503261,6.066731539042565,5.6842267257019135,2.556225637610973,2.435544399479599,1.52835674536254
5.817411075221555,2.7918641076635473,2.8472163581244465,1.5834340843821337,2.313736971105888,1.8898525438953846,3.098474091045288,2.410308233259374,2.3198049749978686,1.8141040666700607,3.374225846175617,5.098521256837891,3.9187381805131967,2.2115179647929883,2.10624650351465,5.781461266982475,5.466906585780884,2.5845151876160726,2.305469196774743,1.3660022475838614
5.793248575266316,2.7989305010452488,3.072467287557886,0.9102504757463245,2.312780042670771,1.9950598765753802,3.1233929391613056,2.004369074215236,2.492062681641613,1.6127008564073415,2.9881820042098215,4.7630891471078565,3.669103906180602,1.8753388788155063,1.9505516107278627,5.727432239113867,5.378283475628621,2.4904840011883675,2.3472791227860093,0.947621895078422
6.117749335423636,2.824278058818446,3.12421347585433,1.1634218298835417,2.5812235587944365,2.041297501827925,3.0876229904811088,2.295062603637943,2.6749835790548255,1.3090789949070012,3.194800924215577,4.661430072310323,3.6082097636884467,1.70073357204781,1.884922727852582,5.930951722329214,5.283810566251891,2.5028614333241794,2.3865552747514656,0.9752373832216185
6.0515466992129285,2.8287504254849805,3.259772906920181,1.2935827073248545,2.8847413257685486,2.0916853670149433,3.125124179173881,2.2967791480715816,3.0457195262173595,1.2902062503707121,3.674581862391333,4.721074486300176,4.013888126252724,2.040653755551769,2.187335563570168,5.824138715404586,5.405887515319097,2.8407132110877797,2.294532673811931,1.2040245593878243
6.702584337249249,2.823096193193642,3.3547338087014382,1.4620479495366134,3.226822322590487,2.0736187575280725,3.5281052883071475,2.4797193334023078,4.32576595876114,1.7423354803479245,3.7340703595834137,5.034268292875743,4.478923719843549,2.2317025353202555,2.3007748491193696,5.841709470910464,5.840904779948022,2.9415252054448566,2.520527860612967,1.1940117751825228
6.5261647913229766,2.7508713821405912,3.2596243258880273,1.4085934174641697,3.1924143146165247,1.966274696982616,3.591893799508122,2.459837838524627,4.3305941078111365,1.8938284216589825,3.6944138095000993,5.021219560030042,4.583514270975273,2.2510765237372685,2.646548706076096,5.531142646937947,5.907474690688612,2.985952970074298,2.8078951408375303,1.3948347051454049
6.449459750526895,2.4634123721870034,3.0383097176142457,1.687130686995988,3.167916334012135,1.8577148061783706,3.3951263895927677,2.9409511867602545,4.286428502999364,1.9137938444903408,3.1799953609744525,4.822703198895013,4.46817619293909,1.6933171269885245,2.4367044836395184,5.637279807218108,5.813442109943886,2.591373586698634,2.7568168122621306,1.534762498504034
